scenario,degrade,trial,pass,min_clearance,collisions,stop_entries,travel_m,states,failures,run_dir
social_two_peds,-,4,PASS,0.2124,0,0,11.419,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_two_peds_4_1784751015
social_two_peds,-,5,PASS,0.2661,0,0,12.328,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_two_peds_5_1784751091
social_yield,-,1,PASS,0.1805,0,1,7.614,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_yield_1_1784751166
social_yield,-,2,PASS,0.2159,0,1,7.735,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_yield_2_1784751268
social_yield,-,3,PASS,0.2298,0,1,7.792,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_yield_3_1784751367
social_yield,-,4,PASS,0.2150,0,1,7.786,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_yield_4_1784751467
social_yield,-,5,PASS,0.2150,0,1,7.756,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_yield_5_1784751566
static_stop,-,1,PASS,0.9830,0,0,4.899,YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/static_stop_1_1784751665
static_stop,-,2,FAIL,0.1242,0,0,10.718,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL,min_clearance 0.124 <= 0.15,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/static_stop_2_1784751741
static_stop,-,3,FAIL,0.2025,0,0,10.330,,state SLOW_DOWN never entered (saw ),/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/static_stop_3_1784751814
static_stop,-,4,PASS,0.6979,0,1,4.748,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/static_stop_4_1784751887
static_stop,-,5,PASS,0.2840,0,0,10.270,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/static_stop_5_1784751960
static_stop,real_l1.yaml,1,PASS,0.7398,0,1,4.979,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/static_stop_1_1784752038
static_stop,real_l1.yaml,2,PASS,0.6920,0,1,4.735,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/static_stop_2_1784752112
static_stop,real_l1.yaml,3,PASS,0.7307,0,1,4.548,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/static_stop_3_1784752187
bike_head_on_4ms,real_l1.yaml,1,PASS,0.4790,0,6,7.940,SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_1_1784752265
bike_head_on_4ms,real_l1.yaml,2,PASS,0.4496,0,3,8.765,SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_2_1784752335
bike_head_on_4ms,real_l1.yaml,3,PASS,0.4774,0,5,8.623,SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_3_1784752404
bike_pass,-,1,PASS,0.8458,0,0,9.861,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_1_1784752476
bike_pass,-,2,PASS,0.8680,0,0,9.870,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_2_1784752543
bike_pass,-,3,PASS,0.9349,0,0,9.847,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_3_1784752609
bike_pass,-,4,PASS,0.8744,0,0,9.868,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_4_1784752677
bike_pass,-,5,PASS,0.8278,0,0,9.838,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_5_1784752743
