scenario,degrade,trial,pass,min_clearance,collisions,stop_entries,travel_m,states,failures,run_dir
bike_head_on,-,1,PASS,0.4171,0,4,8.548,STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_1_1784747587
bike_head_on,-,2,PASS,0.4411,0,5,8.575,SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_2_1784747658
bike_head_on,-,3,PASS,0.4585,0,2,8.737,SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_3_1784747727
bike_head_on,-,4,PASS,0.4570,0,6,7.895,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4_1784747795
bike_head_on,-,5,PASS,0.4371,0,4,8.080,SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_5_1784747862
bike_head_on_4ms,-,1,PASS,0.3947,0,3,8.600,SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_1_1784747929
bike_head_on_4ms,-,2,PASS,0.4657,0,2,8.817,SLOW_DOWN/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_2_1784747996
bike_head_on_4ms,-,3,PASS,0.4284,0,1,8.383,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_3_1784748063
bike_head_on_4ms,-,4,PASS,0.4033,0,6,7.953,SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_4_1784748131
bike_head_on_4ms,-,5,PASS,0.4438,0,1,7.174,SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/YIELD_MOVE/STUCK/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_5_1784748198
bike_pass,-,1,PASS,0.8595,0,0,9.817,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_1_1784748265
bike_pass,-,2,PASS,0.9142,0,0,9.703,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_2_1784748332
bike_pass,-,3,PASS,0.8768,0,0,9.844,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_3_1784748400
bike_pass,-,4,PASS,0.8976,0,0,9.847,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_4_1784748470
bike_pass,-,5,PASS,0.8908,0,0,9.843,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_5_1784748537
crossing,-,1,PASS,1.0316,0,5,8.499,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/crossing_1_1784748606
crossing,-,2,PASS,0.8977,0,2,8.305,SLOW_DOWN/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/crossing_2_1784748680
crossing,-,3,PASS,0.8565,0,0,8.923,SLOW_DOWN/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/crossing_3_1784748753
crossing,-,4,PASS,0.9251,0,1,8.594,SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/crossing_4_1784748827
crossing,-,5,PASS,0.7912,0,1,8.819,SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/crossing_5_1784748900
empty,-,1,PASS,inf,0,0,9.855,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/empty_1_1784748977
empty,-,2,PASS,inf,0,0,9.856,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/empty_2_1784749043
empty,-,3,PASS,inf,0,0,9.865,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/empty_3_1784749107
empty,-,4,PASS,inf,0,0,9.860,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/empty_4_1784749172
empty,-,5,PASS,inf,0,0,9.856,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/empty_5_1784749237
head_on,-,1,PASS,0.7710,0,1,3.774,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/head_on_1_1784749302
head_on,-,2,PASS,0.6689,0,1,3.639,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/head_on_2_1784749367
head_on,-,3,PASS,1.6497,0,0,3.499,YIELD_MOVE/STUCK/NOMINAL/SLOW_DOWN/YIELD_MOVE/YIELD_WAIT/RESUME,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/head_on_3_1784749432
head_on,-,4,PASS,0.9007,0,0,3.588,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/head_on_4_1784749497
head_on,-,5,PASS,0.7725,0,1,3.904,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/head_on_5_1784749561
narrow_gap_refuse,-,1,PASS,0.5092,0,1,4.910,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/narrow_gap_refuse_1_1784749626
narrow_gap_refuse,-,2,PASS,0.5249,0,1,5.089,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/narrow_gap_refuse_2_1784749699
narrow_gap_refuse,-,3,PASS,0.5647,0,1,4.889,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/narrow_gap_refuse_3_1784749772
narrow_gap_refuse,-,4,PASS,0.5459,0,1,4.706,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/narrow_gap_refuse_4_1784749845
narrow_gap_refuse,-,5,PASS,0.5724,0,1,4.635,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/narrow_gap_refuse_5_1784749917
social_box_diag,-,1,PASS,0.4772,0,1,7.122,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_box_diag_1_1784749994
social_box_diag,-,2,PASS,0.4971,0,1,7.101,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_box_diag_2_1784750076
social_box_diag,-,3,PASS,0.4440,0,1,7.421,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_box_diag_3_1784750158
social_box_diag,-,4,FAIL,-0.0014,1,4,7.606,YIELD_MOVE/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP,collisions 1 > 0; min_clearance -0.001 <= 0.05; stop_entries 4 > 2,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_box_diag_4_1784750244
social_box_diag,-,5,PASS,0.4284,0,1,7.328,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_box_diag_5_1784750326
social_offset_ped,-,1,FAIL,0.2416,0,0,11.796,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL,min_clearance 0.242 <= 0.3,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_offset_ped_1_1784750408
social_offset_ped,-,2,PASS,0.3757,0,0,12.340,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_offset_ped_2_1784750483
social_offset_ped,-,3,FAIL,0.2857,0,0,12.604,,min_clearance 0.286 <= 0.3,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_offset_ped_3_1784750558
social_offset_ped,-,4,PASS,0.4839,0,0,11.210,YIELD_MOVE/YIELD_WAIT,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_offset_ped_4_1784750637
social_offset_ped,-,5,PASS,0.4356,0,0,12.254,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_offset_ped_5_1784750712
social_two_peds,-,1,PASS,0.2960,0,0,12.610,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_two_peds_1_1784750787
social_two_peds,-,2,PASS,0.2350,0,0,12.539,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_two_peds_2_1784750863
social_two_peds,-,3,PASS,0.2683,0,0,12.386,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/social_two_peds_3_1784750939
