scenario,degrade,trial,pass,min_clearance,collisions,stop_entries,travel_m,states,failures,run_dir
head_on,-,2,PASS,0.5871,0,0,3.580,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/head_on_2_1785836703
head_on,-,3,PASS,0.8650,0,0,3.535,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/head_on_3_1785836850
head_on,-,4,PASS,0.6351,0,0,3.612,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/head_on_4_1785836998
head_on,-,5,PASS,0.7763,0,0,3.578,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/head_on_5_1785837144
narrow_gap_refuse,-,1,PASS,0.2126,0,1,5.296,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/narrow_gap_refuse_1_1785837292
narrow_gap_refuse,-,2,PASS,0.2178,0,1,5.255,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/narrow_gap_refuse_2_1785837459
narrow_gap_refuse,-,3,PASS,0.2189,0,1,5.342,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/narrow_gap_refuse_3_1785837626
narrow_gap_refuse,-,4,PASS,0.2387,0,1,5.002,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/narrow_gap_refuse_4_1785837794
narrow_gap_refuse,-,5,PASS,0.2330,0,1,5.168,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/narrow_gap_refuse_5_1785837961
social_box_diag,-,1,PASS,0.2881,0,1,7.321,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_box_diag_1_1785838129
